Row Labels,Sum of TotalCredits,Address,Sum of total credit,,DIFFERENCE,,Non-Sewer1,Non-Sewer2,Sewer,chk,NOTES
,,"168 Ellerslie Park Boulevard 1 Lexington, KY"," 	9,774.63 ",," 	(9,774.63)",,-6732.7,,-3041.93,-9774.63,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"168 Ellerslie Park Boulevard 2 Lexington, KY"," 	9,774.63 ",," 	(9,774.63)",,-6732.7,,-3041.93,-9774.63,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"168 Ellerslie Park Boulevard 3 Lexington, KY"," 	9,774.63 ",," 	(9,774.63)",,-6732.7,,-3041.93,-9774.63,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"168 Ellerslie Park Boulevard 4 Lexington, KY"," 	9,774.63 ",," 	(9,774.63)",,-6732.7,,-3041.93,-9774.63,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"168 Ellerslie Park Boulevard 5 Lexington, KY"," 	9,774.63 ",," 	(9,774.63)",,-6732.7,,-3041.93,-9774.63,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1800 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1801 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1804 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1805 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1808 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1811 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1824 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1825 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1828 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1829 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1832 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1833 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1836 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1837 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1856 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1857 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1860 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1863 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1864 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1868 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1869 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1872 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"1876 Cattle Path  Lexington, KY", 	164.80 ,, 	(164.80),,-127.68,,-37.12,-164.8,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"192 Somersly Place  Lexington, KY"," 	5,138.44 ",," 	(5,138.44)",,-2190.21,-1179.34,-1768.89,-5138.44,REMOVE CREDITS-DEVELOPER PAID 12/6/2011 CHK #2353 Gale Properties
,,"196 Somersly Place  Lexington, KY"," 	4,817.29 ",," 	(4,817.29)",,-3158.96,,-1658.33,-4817.29,REMOVE CREDITS-DEVELOPER PAID 6/11/13 CHK #10750 marlinrob
,,"200 Ellerslie Park Boulevard  Lexington, KY"," 	4,817.29 ",," 	(4,817.29)",,-3158.96,,-1658.33,-4817.29,REMOVE CREDITS-DEVELOPER PAID 4/24/06 CHK #001686 Delong Estates
,,"208 Kelburn Court  Lexington, KY"," 	4,046.52 ",," 	(4,046.52)",,-2653.52,,-1393,-4046.52,ALL BALANCES SHOULD BE REMOVED; NO EXACTIONS CALCULATED ALL BALANCES $0; DATED 3/22/2007
,,"2144 Clover Lane  Lexington, KY"," 	2,638.05 ",," 	(2,638.05)",,-2301.3,,-336.75,-2638.05,ALL BALANCES SHOULD BE REMOVED; NO EXACTIONS CALCULATED ALL BALANCES $0; addresses incorrect; sb Sweet Clover Lane; furthermore this one doesn't exist cgalt 10/12/15
