Address,entry_date,,,,
2948 Polo Club Boulevard,12/31/99,,,,
2952 Polo Club Boulevard,12/31/99,,,,
2956 Polo Club Boulevard,12/31/99,,,,
2960 Polo Club Boulevard,12/31/99,,,,
2964 Polo Club Boulevard,12/31/99,,,,
2980 Polo Club Boulevard,12/31/99,,,,
3064 Old House Road,12/31/99,,,,
3068 Old House Road,12/31/99,,,,
317-2101 Hannah Todd Place,1/31/08,,,,
317-2102 Hannah Todd Place,1/31/08,,,,
317-2103 Hannah Todd Place,1/31/08,,,,
317-2104 Hannah Todd Place,1/31/08,,,,
317-2105 Hannah Todd Place,1/31/08,,,,
317-2106 Hannah Todd Place,1/31/08,,,,
4170-101 Bridge Water Way,10/24/16,,,,
4170-102 Bridge Water Way,10/24/16,,,,
4170-103 Bridge Water Way,10/24/16,,,,
4170-104 Bridge Water Way,10/24/16,,,,
4170-105 Bridge Water Way,10/24/16,,,,
4170-106 Bridge Water Way,10/24/16,,,,
4180-101 Bridge Water Way,10/6/14,,,,
4180-102 Bridge Water Way,10/6/14,,,,
4180-103 Bridge Water Way,10/6/14,,,,
4180-104 Bridge Water Way,10/6/14,,,,
4190 Todds Road,12/31/99,,,,
4190-101 Bridge Water Way,7/22/14,,,,
4190-102 Bridge Water Way,7/22/14,,,,
4190-103 Bridge Water Way,7/22/14,,,,
4190-104 Bridge Water Way,7/22/14,,,,
4190-105 Bridge Water Way,7/22/14,,,,
4190-106 Bridge Water Way,7/22/14,,,,
4200-101 Bridge Water Way,8/26/14,,,,
4200-102 Bridge Water Way,8/26/14,,,,
4200-103 Bridge Water Way,8/26/14,,,,
4200-104 Bridge Water Way,8/26/14,,,,
4200-105 Bridge Water Way,8/26/14,,,,
4200-106 Bridge Water Way,8/26/14,,,,
4200-107 Bridge Water Way,8/26/14,,,,
4205-10 Sperling Drive,10/13/16,,,,
4205-11 Sperling Drive,10/13/16,,,,
4205-8 Sperling Drive,10/13/16,,,,
4205-9 Sperling Drive,10/13/16,,,,
840-1 Hays Boulevard,4/2/15,,,,
840-2 Hays Boulevard,4/2/15,,,,
840-3 Hays Boulevard,4/2/15,,,,
840-4 Hays Boulevard,4/2/15,,,,
840-5 Hays Boulevard,4/2/15,,,,
840-6 Hays Boulevard,4/2/15,,,,
840-7 Hays Boulevard,4/2/15,,,,
