Lot,Account From,Account To,Agreement,Entry Type,Entry Date,Roads,Parks,Stormwater,Open Space,Non-Sewer,Sewer Trans.,Sewer Cap.,Sewer,,,,,
"0 Polo Club Boulevard Lexington, KY","North Forty Properties, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1000 Jouett Creek Drive Lexington, KY","Ball Homes, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1000 Polo Club Boulevard Lexington, KY","North Forty Properties, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1000 Squirrel Nest Lane Lexington, KY","North Forty Properties, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1000 Stonecrop Drive Lexington, KY","Ball Homes, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1001 Bryce Point Lexington, KY",Unknown,Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1001 Stonecrop Drive Lexington, KY","Ball Homes, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1001 Sugarbush Trail Lexington, KY","Ball Homes, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1002 Sugarbush Trail Lexington, KY","Ball Homes, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1004 Boone Creek Court Lexington, KY",Unknown,Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1004 Jouett Creek Drive Lexington, KY","Ball Homes, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1004 Squirrel Nest Lane Lexington, KY","North Forty Properties, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1004 Stonecrop Drive Lexington, KY","Ball Homes, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1005 Bryce Point Lexington, KY",Unknown,Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1005 Jouett Creek Drive Lexington, KY","Ball Homes, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1005 Squirrel Nest Lane Lexington, KY","North Forty Properties, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1005 Sugarbush Trail Lexington, KY","Ball Homes, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1006 Sugarbush Trail Lexington, KY","Ball Homes, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1008 Boone Creek Court Lexington, KY",Unknown,Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1008 Jouett Creek Drive Lexington, KY","Ball Homes, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1008 Squirrel Nest Lane Lexington, KY","North Forty Properties, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1008 Stonecrop Drive Lexington, KY","Ball Homes, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1009 Bryce Point Lexington, KY",Unknown,Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1009 Jouett Creek Drive Lexington, KY","Ball Homes, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1009 Squirrel Nest Lane Lexington, KY","North Forty Properties, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1009 Stonecrop Drive Lexington, KY","Ball Homes, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1009 Sugarbush Trail Lexington, KY","Ball Homes, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1010 Sugarbush Trail Lexington, KY","Ball Homes, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1012 Boone Creek Court Lexington, KY",Unknown,Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1012 Bryce Point Lexington, KY",Unknown,Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1012 Jouett Creek Drive Lexington, KY","Ball Homes, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1012 Squirrel Nest Lane Lexington, KY","North Forty Properties, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1012 Stonecrop Drive Lexington, KY","Ball Homes, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1013 Bryce Point Lexington, KY",Unknown,Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1013 Jouett Creek Drive Lexington, KY","Ball Homes, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1013 Squirrel Nest Lane Lexington, KY","North Forty Properties, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1013 Sugarbush Trail Lexington, KY","Ball Homes, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1014 Sugarbush Trail Lexington, KY","Ball Homes, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1016 Bryce Point Lexington, KY",Unknown,Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1016 Jouett Creek Drive Lexington, KY","Ball Homes, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1016 Squirrel Nest Lane Lexington, KY","North Forty Properties, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1016 Stonecrop Drive Lexington, KY","Ball Homes, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1017 Bryce Point Lexington, KY",Unknown,Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1017 Squirrel Nest Lane Lexington, KY","North Forty Properties, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1017 Stonecrop Drive Lexington, KY","Ball Homes, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1017 Sugarbush Trail Lexington, KY","Ball Homes, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
