Address,Roads,SewerTransmission,SewerCapacity,Parks,Stormwater,OpenSpace,PLAT,RES
1021 Squirrel Nest Lane,3716.14,1066.25,907.54,1160.13,1605.61,217.78,R-767,SWR RES281-2002; NSWR RES365-2006
1025 Squirrel Nest Lane,3716.14,1066.25,907.54,1160.13,1605.61,217.78,R-767,SWR RES281-2002; NSWR RES365-2006
1029 Squirrel Nest Lane,3716.14,1066.25,907.54,1160.13,1605.61,217.78,R-767,SWR RES281-2002; NSWR RES365-2006
1033 Squirrel Nest Lane,3716.14,1066.25,907.54,1160.13,1605.61,217.78,R-767,SWR RES281-2002; NSWR RES365-2006
1037 Squirrel Nest Lane,3716.14,1066.25,907.54,1160.13,1605.61,217.78,R-767,SWR RES281-2002; NSWR RES365-2006
1044 Squirrel Nest Lane,3716.14,1066.25,907.54,1160.13,1605.61,217.78,R-767,SWR RES281-2002; NSWR RES365-2006
1045 Squirrel Nest Lane,3716.14,1066.25,907.54,1160.13,1605.61,217.78,R-767,SWR RES281-2002; NSWR RES365-2006
1048 Squirrel Nest Lane,3716.14,1066.25,907.54,1160.13,1605.61,217.78,R-767,SWR RES281-2002; NSWR RES365-2006
1049 Squirrel Nest Lane,3716.14,1066.25,907.54,1160.13,1605.61,217.78,R-767,SWR RES281-2002; NSWR RES365-2006
1052 Squirrel Nest Lane,3716.14,1066.25,907.54,1160.13,1605.61,217.78,R-767,SWR RES281-2002; NSWR RES365-2006
1053 Squirrel Nest Lane,3716.14,1066.25,907.54,1160.13,1605.61,217.78,R-767,SWR RES281-2002; NSWR RES365-2006
3525 Stolen Horse Trace,3716.14,1066.25,907.54,1160.13,1605.61,217.78,R-767,SWR RES281-2002;NSWR RES365-2006
3529 Stolen Horse Trace,3716.14,1066.25,907.54,1160.13,1605.61,217.78,R-767,SWR RES281-2002;NSWR RES365-2006
3532 Stolen Horse Trace,3716.14,1066.25,907.54,1160.13,1605.61,217.78,R-767,SWR RES281-2002;NSWR RES365-2006
3533 Stolen Horse Trace,3716.14,1066.25,907.54,1160.13,1605.61,217.78,R-767,SWR RES281-2002;NSWR RES365-2006
3537 Stolen Horse Trace,3716.14,1066.25,907.54,1160.13,1605.61,217.78,R-767,SWR RES281-2002;NSWR RES365-2006
3540 Stolen Horse Trace,3716.14,1066.25,907.54,1160.13,1605.61,217.78,R-767,SWR RES281-2002;NSWR RES365-2006
3541 Stolen Horse Trace,3716.14,1066.25,907.54,1160.13,1605.61,217.78,R-767,SWR RES281-2002;NSWR RES365-2006
3544 Stolen Horse Trace,3716.14,1066.25,907.54,1160.13,1605.61,217.78,R-767,SWR RES281-2002;NSWR RES365-2006
3545 Stolen Horse Trace,3716.14,1066.25,907.54,1160.13,1605.61,217.78,R-767,SWR RES281-2002;NSWR RES365-2006
3548 Stolen Horse Trace,3716.14,1066.25,907.54,1160.13,1605.61,217.78,R-767,SWR RES281-2002;NSWR RES365-2006
3549 Stolen Horse Trace,3716.14,1066.25,907.54,1160.13,1605.61,217.78,R-767,SWR RES281-2002;NSWR RES365-2006
3552 Stolen Horse Trace,3716.14,1066.25,907.54,1160.13,1605.61,217.78,R-767,SWR RES281-2002;NSWR RES365-2006
3553 Stolen Horse Trace,3716.14,1066.25,907.54,1160.13,1605.61,217.78,R-767,SWR RES281-2002;NSWR RES365-2006
3556 Stolen Horse Trace,3716.14,1066.25,907.54,1160.13,1605.61,217.78,R-767,SWR RES281-2002;NSWR RES365-2006
3940 Morning Glory Lane,3716.14,1066.25,907.54,1160.13,1605.61,217.78,R-767,SWR RES281-2002;NSWR RES365-2006
