Address,entry_date,,,,
1000 Polo Club Boulevard,11/27/07,,,,
1004 Jouett Creek Drive,8/12/08,,,,
1008 Jouett Creek Drive,2/13/09,,,,
1012 Jouett Creek Drive,2/5/09,,,,
1016 Jouett Creek Drive,2/13/09,,,,
1020 Jouett Creek Drive,8/12/08,,,,
1024 Jouett Creek Drive,8/12/08,,,,
1028 Jouett Creek Drive,3/11/09,,,,
1032 Jouett Creek Drive,8/12/08,,,,
1036 Jouett Creek Drive,9/23/08,,,,
1040 Jouett Creek Drive,8/12/08,,,,
1048 Jouett Creek Drive,4/9/09,,,,
1052 Jouett Creek Drive,8/28/08,,,,
1056 Jouett Creek Drive,8/12/08,,,,
1060 Jouett Creek Drive,8/12/08,,,,
1101 Oatlands Park,3/8/05,,,,
1102 Oatlands Park,4/4/05,,,,
1103 Oatlands Park,3/8/05,,,,
1104 Oatlands Park,4/4/05,,,,
1105 Oatlands Park,3/8/05,,,,
1106 Oatlands Park,4/4/05,,,,
1107 Oatlands Park,3/8/05,,,,
1108 Oatlands Park,4/4/05,,,,
1109 Oatlands Park,3/2/05,,,,
1110 Oatlands Park,4/4/05,,,,
1111 Oatlands Park,3/8/05,,,,
1112 Oatlands Park,4/4/05,,,,
1113 Oatlands Park,3/8/05,,,,
1114 Oatlands Park,4/4/05,,,,
1115 Oatlands Park,3/8/05,,,,
1116 Oatlands Park,4/4/05,,,,
1117 Oatlands Park,3/8/05,,,,
1118 Oatlands Park,4/4/05,,,,
1119 Oatlands Park,3/8/05,,,,
1121 Oatlands Park,3/8/05,,,,
1123 Oatlands Park,3/8/05,,,,
1201 Providence Place Parkway,5/28/15,,,,
1340 Deerhaven Lane,8/10/09,,,,
1500 Fitzgerald Court,5/7/13,,,,
1510 Conservation Way,4/6/15,,,,
1565 Sweet Clover Park,3/25/18,,,,
1568 Sweet Clover Park,8/22/17,,,,
1569 Sweet Clover Park,4/12/16,,,,
1572 Sweet Clover Park,4/12/16,,,,
1573 Sweet Clover Park,4/12/16,,,,
1576 Sweet Clover Park,5/27/16,,,,
1577 Sweet Clover Park,5/2/16,,,,
1805 Browning Trace,8/5/13,,,,
1806 Browning Trace,11/5/10,,,,
1806 Falling Leaves Lane,6/26/15,,,,
1809 Browning Trace,10/5/10,,,,
1810 Browning Trace,7/8/13,,,,
1813 Browning Trace,6/25/14,,,,
1814 Browning Trace,6/25/14,,,,
1814 Falling Leaves Lane,4/18/13,,,,
1818 Browning Trace,12/10/13,,,,
1818 Falling Leaves Lane,3/11/13,,,,
1821 Browning Trace,10/19/15,,,,
1822 Falling Leaves Lane,6/21/12,,,,
1824 Browning Trace,6/6/16,,,,
1825 Browning Trace,4/4/17,,,,
1825 Little Herb Way,11/2/18,,,,
1826 Falling Leaves Lane,8/21/12,,,,
1830 Browning Trace,12/5/17,,,,
1830 Falling Leaves Lane,10/16/12,,,,
1834 Falling Leaves Lane,12/26/13,,,,
1838 Falling Leaves Lane,9/23/13,,,,
1842 Falling Leaves Lane,6/4/14,,,,
1846 Falling Leaves Lane,7/18/13,,,,
1850 Falling Leaves Lane,7/18/13,,,,
1854 Falling Leaves Lane,5/7/13,,,,
1858 Falling Leaves Lane,8/16/11,,,,
1862 Falling Leaves Lane,10/2/13,,,,
1866 Falling Leaves Lane,3/6/13,,,,
1870 Falling Leaves Lane,3/6/13,,,,
1874 Falling Leaves Lane,9/11/12,,,,
1877 Falling Leaves Lane,3/5/13,,,,
1878 Falling Leaves Lane,7/25/13,,,,
1881 Falling Leaves Lane,7/29/11,,,,
1885 Falling Leaves Lane,12/30/11,,,,
1889 Falling Leaves Lane,8/15/12,,,,
1893 Falling Leaves Lane,8/17/12,,,,
1894 Falling Leaves Lane,8/16/11,,,,
1897 Falling Leaves Lane,7/2/12,,,,
1898 Falling Leaves Lane,10/6/11,,,,
1901 Falling Leaves Lane,2/2/12,,,,
1905 Falling Leaves Lane,9/16/14,,,,
1909 Falling Leaves Lane,6/7/16,,,,
1912 Falling Leaves Lane,8/16/11,,,,
1913 Falling Leaves Lane,2/12/13,,,,
1917 Falling Leaves Lane,10/2/12,,,,
192 Somersly Place,12/6/11,,,,
1921 Falling Leaves Lane,7/9/13,,,,
1925 Falling Leaves Lane,11/7/16,,,,
1929 Falling Leaves Lane,4/15/13,,,,
1933 Falling Leaves Lane,5/24/12,,,,
1937 Falling Leaves Lane,10/8/12,,,,
1941 Falling Leaves Lane,12/2/11,,,,
