Address,entry_date,,,,
317 Hannah Todd Place 2101,1/31/08,,,,
317 Hannah Todd Place 2102,1/31/08,,,,
317 Hannah Todd Place 2103,1/31/08,,,,
317 Hannah Todd Place 2104,1/31/08,,,,
317 Hannah Todd Place 2105,1/31/08,,,,
317 Hannah Todd Place 2106,1/31/08,,,,
4170 Bridge Water Way 101,10/24/16,,,,
4170 Bridge Water Way 102,10/24/16,,,,
4170 Bridge Water Way 103,10/24/16,,,,
4170 Bridge Water Way 104,10/24/16,,,,
4170 Bridge Water Way 105,10/24/16,,,,
4170 Bridge Water Way 106,10/24/16,,,,
4180 Bridge Water Way 101,10/6/14,,,,
4180 Bridge Water Way 102,10/6/14,,,,
4180 Bridge Water Way 103,10/6/14,,,,
4180 Bridge Water Way 104,10/6/14,,,,
4190 Bridge Water Way 101,7/22/14,,,,
4190 Bridge Water Way 102,7/22/14,,,,
4190 Bridge Water Way 103,7/22/14,,,,
4190 Bridge Water Way 104,7/22/14,,,,
4190 Bridge Water Way 105,7/22/14,,,,
4190 Bridge Water Way 106,7/22/14,,,,
4200 Bridge Water Way 101,8/26/14,,,,
4200 Bridge Water Way 102,8/26/14,,,,
4200 Bridge Water Way 103,8/26/14,,,,
4200 Bridge Water Way 104,8/26/14,,,,
4200 Bridge Water Way 105,8/26/14,,,,
4200 Bridge Water Way 106,8/26/14,,,,
4200 Bridge Water Way 107,8/26/14,,,,
4205 Sperling Drive 10,10/13/16,,,,
4205 Sperling Drive 11,10/13/16,,,,
4205 Sperling Drive 8,10/13/16,,,,
4205 Sperling Drive 9,10/13/16,,,,
840 Hays Boulevard 1,4/2/15,,,,
840 Hays Boulevard 2,4/2/15,,,,
840 Hays Boulevard 3,4/2/15,,,,
840 Hays Boulevard 4,4/2/15,,,,
840 Hays Boulevard 5,4/2/15,,,,
840 Hays Boulevard 6,4/2/15,,,,
840 Hays Boulevard 7,4/2/15,,,,
