COMBINE ST & NAME,total pymts,,Lot,Total Paid,DIFF,,Roads,SewerTransmission,SewerCapacity,Parks,Stormwater,OpenSpace,chk
2269 Shaker Run Road,4399.69,,"2269 Shaker Run Road  Lexington, KY",$996.66 ,"$3,403.03 ",,1359,957.71,631.98,175,1276,,0
2204 Dunhill Lane,4399.66,,"2204 Dunhill Lane  Lexington, KY",$996.66 ,"$3,403.00 ",,1359,957.68,631.98,175,1276,,0
2205 Dunhill Lane,4399.66,,"2205 Dunhill Lane  Lexington, KY",$996.66 ,"$3,403.00 ",,1359,957.68,631.98,175,1276,,0
3065 Polo Club Boulevard,4399.66,,"3065 Polo Club Boulevard  Lexington, KY",$996.66 ,"$3,403.00 ",,1359,957.68,631.98,175,1276,,0
3073 Polo Club Boulevard,4399.66,,"3073 Polo Club Boulevard  Lexington, KY",$996.66 ,"$3,403.00 ",,1359,957.68,631.98,175,1276,,0
3216 Polo Club Boulevard,4399.66,,"3216 Polo Club Boulevard  Lexington, KY",$996.66 ,"$3,403.00 ",,1359,957.68,631.98,175,1276,,0
2205 Barrington Lane,3731.38,,"2205 Barrington Lane  Lexington, KY",$845.39 ,"$2,885.99 ",,1153,812.32,536.06,148,1082,,0
2217 Blackmoor Park Lane,3731.38,,"2217 Blackmoor Park Lane  Lexington, KY",$845.39 ,"$2,885.99 ",,1153,812.32,536.06,148,1082,,0
2221 Blackmoor Park Lane,3731.38,,"2221 Blackmoor Park Lane  Lexington, KY",$845.39 ,"$2,885.99 ",,1153,812.32,536.06,148,1082,,0
2244 Blackmoor Park Lane,3731.38,,"2244 Blackmoor Park Lane  Lexington, KY",$845.39 ,"$2,885.99 ",,1153,812.32,536.06,148,1082,,0
3024 Polo Club Boulevard,3731.38,,"3024 Polo Club Boulevard  Lexington, KY",$845.39 ,"$2,885.99 ",,1153,812.32,536.06,148,1082,,0
3048 Polo Club Boulevard,3731.38,,"3048 Polo Club Boulevard  Lexington, KY",$845.39 ,"$2,885.99 ",,1153,812.32,536.06,148,1082,,0
3058 Polo Club Boulevard,3731.38,,"3058 Polo Club Boulevard  Lexington, KY",$845.39 ,"$2,885.99 ",,1153,812.32,536.06,148,1082,,0
3125 Caversham Park Lane,3731.38,,"3125 Caversham Park Lane  Lexington, KY",$845.39 ,"$2,885.99 ",,1153,812.32,536.06,148,1082,,0
3132 Caversham Park Lane,3731.38,,"3132 Caversham Park Lane  Lexington, KY",$845.39 ,"$2,885.99 ",,1153,812.32,536.06,148,1082,,0
3136 Caversham Park Lane,3731.38,,"3136 Caversham Park Lane  Lexington, KY",$845.39 ,"$2,885.99 ",,1153,812.32,536.06,148,1082,,0
3145 Caversham Park Lane,3731.38,,"3145 Caversham Park Lane  Lexington, KY",$845.39 ,"$2,885.99 ",,1153,812.32,536.06,148,1082,,0
3148 Caversham Park Lane,3731.38,,"3148 Caversham Park Lane  Lexington, KY",$845.39 ,"$2,885.99 ",,1153,812.32,536.06,148,1082,,0
3157 Caversham Park Lane,3731.38,,"3157 Caversham Park Lane  Lexington, KY",$845.39 ,"$2,885.99 ",,1153,812.32,536.06,148,1082,,0
3760 Horsemint Trail,4908,,"3760 Horsemint Trail  Lexington, KY","$2,077.00 ","$2,831.00 ",,1020,1430,410,202,1505,341,0
3797 Horsemint Trail,4908,,"3797 Horsemint Trail  Lexington, KY","$2,077.00 ","$2,831.00 ",,1020,1430,410,202,1505,341,0
3809 Horsemint Trail,4908,,"3809 Horsemint Trail  Lexington, KY","$2,077.00 ","$2,831.00 ",,1020,1430,410,202,1505,341,0
3812 Horsemint Trail,4908,,"3812 Horsemint Trail  Lexington, KY","$2,077.00 ","$2,831.00 ",,1020,1430,410,202,1505,341,0
3824 Horsemint Trail,4908,,"3824 Horsemint Trail  Lexington, KY","$2,077.00 ","$2,831.00 ",,1020,1430,410,202,1505,341,0
3824 Still Meadow Lane,4908,,"3824 Still Meadow Lane  Lexington, KY","$2,077.00 ","$2,831.00 ",,1020,1430,410,202,1505,341,0
3825 Horsemint Trail,4908,,"3825 Horsemint Trail  Lexington, KY","$2,077.00 ","$2,831.00 ",,1020,1430,410,202,1505,341,0
512 Sundrop Path,4908,,"512 Sundrop Path  Lexington, KY","$2,077.00 ","$2,831.00 ",,1020,1430,410,202,1505,341,0
524 Sundrop Path,4908,,"524 Sundrop Path  Lexington, KY","$2,077.00 ","$2,831.00 ",,1020,1430,410,202,1505,341,0
2124 Winning Colors Lane,6650,,"2124 Winning Colors Lane  Lexington, KY","$4,040.00 ","$2,610.00 ",,1974,962,594,640,822,1658,0
2144 Winning Colors Lane,6650,,"2144 Winning Colors Lane  Lexington, KY","$4,040.00 ","$2,610.00 ",,1974,962,594,640,822,1658,0
3836 Real Quiet Lane,6650,,"3836 Real Quiet Lane  Lexington, KY","$4,040.00 ","$2,610.00 ",,1974,962,594,640,822,1658,0
3853 Real Quiet Lane,6650,,"3853 Real Quiet Lane  Lexington, KY","$4,040.00 ","$2,610.00 ",,1974,962,594,640,822,1658,0
3349 Royal Troon Road,2972.6,,"3349 Royal Troon Road  Lexington, KY",$673.38 ,"$2,299.22 ",,918.48,646.94,426.99,118.25,861.94,,0
