Address,D_amount,D_chk,D_date,D_paidby,D_Roads,D_SewerTransmission,D_SewerCapacity,D_Parks,D_Stormwater,D_OpenSpace,P_amount,P_chk,P_date,P_paidby,P_Roads,P_SewerTransmission,P_Parks,P_Stormwater
2009 Shaker Run Road, 	845.38 ,1199,7/6/01,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,21508,11/16/01,Pickett Development Corporation,1153.00,503.00,148.00,1082.00
2013 Shaker Run Road, 	673.38 ,1404,11/10/00,"Bryant Road, LLC",,246.39,426.99,,,,2299.00,20792,5/16/01,Artique Custom Homes,918.00,401.00,118.00,862.00
2025 Shaker Run Road, 	673.38 ,1179,5/18/00,"Bryant Road, LLC",,246.39,426.99,,,,2299.00,19897,12/26/00,Artique Custom Homes,918.00,401.00,118.00,862.00
2029 Shaker Run Road, 	673.38 ,1730,8/24/01,Pickett Homes,,246.39,426.99,,,,2299.00,21767,1/7/02,Pickett Development Corporation,918.00,401.00,118.00,862.00
2033 Shaker Run Road, 	673.38 ,1300,8/15/00,Artique Custom Homes,,246.39,426.99,,,,2299.00,21220,6/25/01,Artique Custom Homes,918.00,401.00,118.00,862.00
2036 Shaker Run Road, 	673.38 ,1144,9/5/00,North Fork Land Co. LLC,,246.39,426.99,,,,2299.00,20816,7/11/01,Pickett Development Corporation,918.00,401.00,118.00,862.00
2037 Shaker Run Road, 	673.38 ,1425,11/10/00,"Bryant Road, LLC",,246.39,426.99,,,,2299.00,20792,5/16/01,Artique Custom Homes,918.00,401.00,118.00,862.00
2045 Shaker Run Road, 	673.38 ,1404,11/10/00,"Bryant Road, LLC",,246.39,426.99,,,,2299.00,21655,8/22/01,Artique Custom Homes,918.00,401.00,118.00,862.00
2049 Shaker Run Road, 	673.38 ,1269,7/26/00,"Bryant Road, LLC",,246.39,426.99,,,,2299.00,20299,3/6/01,Artique Custom Homes,918.00,401.00,118.00,862.00
2053 Shaker Run Road, 	673.38 ,1301,8/23/00,"Bryant Road, LLC",,246.39,426.99,,,,2299.00,19997,1/8/01,Artique Custom Homes,918.00,401.00,118.00,862.00
2108 Winning Colors Lane," 	4,040.00 ",2777,11/5/09,JJK-Thomas LLC,987.00,481.00,594.00,320.00,,1658.00,2610.00,,12/31/99,,987.00,481.00,320.00,822.00
2109 Winning Colors Lane," 	4,040.00 ",N/A,3/28/18,Credit Card payment by:  H. Fowler,987.00,481.00,594.00,320.00,,1658.00,2610.00,,3/28/18,CREDIT CARD,987.00,481.00,320.00,822.00
2116 Winning Colors Lane," 	4,040.00 ",3726,6/19/15,Homes by reckelhoff,987.00,481.00,594.00,320.00,,1658.00,2610.00,3726,6/19/15,,987.00,481.00,320.00,822.00
2124 Winning Colors Lane," 	4,040.00 ",,7/7/16,N/A,987.00,481.00,594.00,320.00,,1658.00,2610.00,,7/7/16,,987.00,481.00,320.00,822.00
2144 Winning Colors Lane," 	4,040.00 ",,8/11/16,N/A,987.00,481.00,594.00,320.00,,1658.00,2610.00,,8/11/16,,987.00,481.00,320.00,822.00
2157 Winning Colors Lane," 	4,040.00 ",1159,3/20/02,"JJK - Thomas, LLC",987.00,481.00,594.00,320.00,,1658.00,2610.00,12785 & 8133,6/5/03,Winters,987.00,481.00,320.00,822.00
2201 Market Garden Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
2201 Sunningdale Drive," 	1,795.00 ",,1/18/07,"Bryant Road, LLC",,784.00,1011.00,,,,784.00,,7/26/01,"Bryant Road, LLC",,784.00,,
2204 Blackmoor Park Lane, 	845.38 ,1224,10/23/01,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,23727,5/29/02,Artique Custom Homes,1153.00,503.00,148.00,1082.00
2204 Dunhill Lane, 	996.66 ,4357,11/3/00,Daniel J. Wahl,,364.68,631.98,,,,3403.00,5102,7/20/01,Daniel J. Wahl,1359.00,593.00,175.00,1276.00
2205 Barrington Lane, 	845.38 ,1132,6/8/00,Pickett Homes,,309.33,536.06,,,,2886.00,20203,3/29/01,Pickett Homes,1153.00,503.00,148.00,1082.00
2205 Blackmoor Park Lane, 	845.38 ,845.38,7/6/01,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,21508,11/16/01,Pickett Development Corporation,1153.00,503.00,148.00,1082.00
2205 Dunhill Lane, 	996.66 ,007,6/26/00,McGinnis Homes,,364.68,631.98,,,,3403.00,1531,7/31/01,McGinnis Homes,1359.00,593.00,175.00,1276.00
2205 Sunningdale Drive," 	1,795.00 ",,1/19/06,"Polo Club Assoc, LLC",,784.00,1011.00,,,,784.00,,6/2/03,Joe Hacker,,784.00,,
2208 Barrington Lane, 	845.38 ,,1/19/06,"Polo Club Assoc, LLC",,309.33,536.06,,,,2886.00,21220,6/25/01,Artique Custom Homes ,1153.00,503.00,148.00,1082.00
2208 Blackmoor Park Lane, 	845.38 ,1164,1/23/01,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,21220,6/25/01,Artique Custom Homes,1153.00,503.00,148.00,1082.00
2208 Market Garden Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
2208 Sunningdale Drive," 	1,795.00 ",,1/19/06,"Polo Club Assoc, LLC",,784.00,1011.00,,,,784.00,,7/26/01,"Bryant Road, LLC",,784.00,,
2209 Blackmoor Park Lane, 	845.38 ,1322,9/5/00,"Bryant Road, LLC",,309.33,536.06,,,,2886.00,20149,3/15/01,Pickett Development Corporation,1153.00,503.00,148.00,1082.00
2209 Dunhill Lane, 	996.66 ,1299,10/9/00,McGinnis Homes,,364.68,631.98,,,,3403.00,34739,7/17/01,"McBrayer, McGinnis, Leslie & Kirkland",1359.00,593.00,175.00,1276.00
