Address,Roads,SewerTransmission,SewerCapacity,Parks,Stormwater,OpenSpace,PLAT,RES
4372 Walnut Creek Drive,1046.81,,,188.53,1377.26,334.28,M-217,RES149-2004
4376 Walnut Creek Drive,1046.81,,,188.53,1377.26,334.28,M-217,RES149-2004
4380 Walnut Creek Drive,1046.81,,,188.53,1377.26,334.28,M-217,RES149-2004
4384 Walnut Creek Drive,1046.81,,,188.53,1377.26,334.28,M-217,RES149-2004
4388 Walnut Creek Drive,1046.81,,,188.53,1377.26,334.28,M-217,RES149-2004
4392 Walnut Creek Drive,1046.81,,,188.53,1377.26,334.28,M-217,RES149-2004
4396 Walnut Creek Drive,1046.81,,,188.53,1377.26,334.28,M-217,RES149-2004
4397 Walnut Creek Drive,1046.81,,,188.53,1377.26,334.28,M-217,RES149-2004
4400 Walnut Creek Drive,1046.81,,,188.53,1377.26,334.28,M-217,RES149-2004
4401 Walnut Creek Drive,1046.81,,,188.53,1377.26,334.28,M-217,RES149-2004
4404 Walnut Creek Drive,1046.81,,,188.53,1377.26,334.28,M-217,RES149-2004
4405 Walnut Creek Drive,1046.81,,,188.53,1377.26,334.28,M-217,RES149-2004
4408 Walnut Creek Drive,1046.81,,,188.53,1377.26,334.28,M-217,RES149-2004
4409 Walnut Creek Drive,1046.81,,,188.53,1377.26,334.28,M-217,RES149-2004
4412 Walnut Creek Drive,1046.81,,,188.53,1377.26,334.28,M-217,RES149-2004
4413 Walnut Creek Drive,1046.81,,,188.53,1377.26,334.28,M-217,RES149-2004
4416 Walnut Creek Drive,1046.81,,,188.53,1377.26,334.28,M-217,RES149-2004
4417 Walnut Creek Drive,1046.81,,,188.53,1377.26,334.28,M-217,RES149-2004
4393 Walnut Creek Drive,,971.23,366.33,,,,M-217,RES755-2001
4393 Walnut Creek Drive,1046.81,,,188.53,,334.28,M-217,RES406-2002
4393 Walnut Creek Drive,,,,,1377.26,,M-217,RES149-2004
4336 Walnut Creek Drive,,1180.67,366.33,,,,M-217,RES755-2001
4340 Walnut Creek Drive,,1180.67,366.33,,,,M-217,RES755-2001
4341 Walnut Creek Drive,,1180.67,366.33,,,,M-217,RES755-2001
4344 Walnut Creek Drive,,1180.67,366.33,,,,M-217,RES755-2001
4348 Walnut Creek Drive,,1180.67,366.33,,,,M-217,RES755-2001
4349 Walnut Creek Drive,,1180.67,366.33,,,,M-217,RES755-2001
4352 Walnut Creek Drive,,1180.67,366.33,,,,M-217,RES755-2001
4356 Walnut Creek Drive,,1180.67,366.33,,,,M-217,RES755-2001
4357 Walnut Creek Drive,,1180.67,366.33,,,,M-217,RES755-2001
4360 Walnut Creek Drive,,1180.67,366.33,,,,M-217,RES755-2001
4361 Walnut Creek Drive,,1180.67,366.33,,,,M-217,RES755-2001
4364 Walnut Creek Drive,,1180.67,366.33,,,,M-217,RES755-2001
4368 Walnut Creek Drive,,1180.67,366.33,,,,M-217,RES755-2001
4369 Walnut Creek Drive,,1180.67,366.33,,,,M-217,RES755-2001
4377 Walnut Creek Drive,,1180.67,366.33,,,,M-217,RES755-2001
4385 Walnut Creek Drive,,1180.67,366.33,,,,M-217,RES755-2001
4336 Walnut Creek Drive,1046.81,,,188.53,,334.28,M-217,RES406-2002
4340 Walnut Creek Drive,1046.81,,,188.53,,334.28,M-217,RES406-2002
4341 Walnut Creek Drive,1046.81,,,188.53,,334.28,M-217,RES406-2002
4344 Walnut Creek Drive,1046.81,,,188.53,,334.28,M-217,RES406-2002
4348 Walnut Creek Drive,1046.81,,,188.53,,334.28,M-217,RES406-2002
4349 Walnut Creek Drive,1046.81,,,188.53,,334.28,M-217,RES406-2002
4352 Walnut Creek Drive,1046.81,,,188.53,,334.28,M-217,RES406-2002
4356 Walnut Creek Drive,1046.81,,,188.53,,334.28,M-217,RES406-2002
4357 Walnut Creek Drive,1046.81,,,188.53,,334.28,M-217,RES406-2002
4360 Walnut Creek Drive,,,,,,300.92,M-217,RES406-2002
4360 Walnut Creek Drive,1046.81,,,188.53,,33.36,M-217,RES149-2004
4361 Walnut Creek Drive,1046.81,,,188.53,,334.28,M-217,RES149-2004
4364 Walnut Creek Drive,1046.81,,,188.53,,334.28,M-217,RES149-2004
4368 Walnut Creek Drive,1046.81,,,188.53,,334.28,M-217,RES149-2004
4369 Walnut Creek Drive,1046.81,,,188.53,,334.28,M-217,RES149-2004
4377 Walnut Creek Drive,1046.81,,,188.53,,334.28,M-217,RES149-2004
4385 Walnut Creek Drive,1046.81,,,188.53,,334.28,M-217,RES149-2004
4336 Walnut Creek Drive,,,,,1377.26,,M-217,RES149-2004
4340 Walnut Creek Drive,,,,,1377.26,,M-217,RES149-2004
4341 Walnut Creek Drive,,,,,1377.26,,M-217,RES149-2004
4344 Walnut Creek Drive,,,,,1377.26,,M-217,RES149-2004
4348 Walnut Creek Drive,,,,,1377.26,,M-217,RES149-2004
4349 Walnut Creek Drive,,,,,1377.26,,M-217,RES149-2004
4352 Walnut Creek Drive,,,,,1377.26,,M-217,RES149-2004
4356 Walnut Creek Drive,,,,,1377.26,,M-217,RES149-2004
4357 Walnut Creek Drive,,,,,1377.26,,M-217,RES149-2004
4360 Walnut Creek Drive,,,,,1377.26,,M-217,RES149-2004
4361 Walnut Creek Drive,,,,,1377.26,,M-217,RES149-2004
4364 Walnut Creek Drive,,,,,1377.26,,M-217,RES149-2004
4368 Walnut Creek Drive,,,,,1377.26,,M-217,RES149-2004
