Address,Sum of TotalCredits,Row Labels,Sum of total credit,,DIFFERENCE,,Roads,SewerTransmission,SewerCapacity,Parks,Stormwater,OpenSpace,chk,PLAT,RES,Transfer,,,"TRANSFER FROM PROVIDENCE BUS CTR TO ANDERSON-RAMSEY LLC RES 447-2006 12.17.13  ROADS 103,076.14"
100 Somersly Place," 	7,245.25 ",,,," 	7,245.25 ",,1541.27,1444.79,662.69,566.12,2629.05,401.33, 	-   ,DP,SWR MEMO 7-28-04; NSWR MEMO 10-08-04,,,,
104 Somersly Place," 	7,245.25 ",,,," 	7,245.25 ",,1541.27,1444.79,662.69,566.12,2629.05,401.33, 	-   ,DP,SWR MEMO 7-28-04; NSWR MEMO 10-08-04,,,,
108 Somersly Place," 	7,245.25 ",,,," 	7,245.25 ",,1541.27,1444.79,662.69,566.12,2629.05,401.33, 	-   ,DP,SWR MEMO 7-28-04; NSWR MEMO 10-08-04,,,,
1100 Deerhaven Lane," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-883,NSWR RES370-2002,,,,
1101 Oatlands Park," 	4,092.49 ",,,," 	4,092.49 ",,1829.33,,,842.39,1303.65,117.12, 	-   ,DP,NSWR RES370-2002,,,,
1102 Oatlands Park," 	4,092.49 ",,,," 	4,092.49 ",,1829.33,,,842.39,1303.65,117.12, 	-   ,DP,NSWR RES370-2002,,,,
1103 Oatlands Park," 	4,092.49 ",,,," 	4,092.49 ",,1829.33,,,842.39,1303.65,117.12, 	-   ,DP,NSWR RES370-2002,,,,
1104 Deerhaven Lane," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-883,NSWR RES370-2002,,,,
1104 Oatlands Park," 	4,092.49 ",,,," 	4,092.49 ",,1829.33,,,842.39,1303.65,117.12, 	-   ,DP,NSWR RES370-2002,,,,
1105 Oatlands Park," 	4,092.49 ",,,," 	4,092.49 ",,1829.33,,,842.39,1303.65,117.12, 	-   ,DP,NSWR RES370-2002,,,,
1106 Oatlands Park," 	4,092.49 ",,,," 	4,092.49 ",,1829.33,,,842.39,1303.65,117.12, 	-   ,DP,NSWR RES370-2002,,,,
1107 Oatlands Park," 	4,092.49 ",,,," 	4,092.49 ",,1829.33,,,842.39,1303.65,117.12, 	-   ,DP,NSWR RES370-2002,,,,
1108 Deerhaven Lane," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-883,NSWR RES370-2002,,,,
1108 Oatlands Park," 	4,092.49 ",,,," 	4,092.49 ",,1829.33,,,842.39,1303.65,117.12, 	-   ,DP,NSWR RES370-2002,,,,
1109 Oatlands Park," 	4,092.49 ",,,," 	4,092.49 ",,1829.33,,,842.39,1303.65,117.12, 	-   ,DP,NSWR RES370-2002,,,,
1110 Oatlands Park," 	4,092.49 ",,,," 	4,092.49 ",,1829.33,,,842.39,1303.65,117.12, 	-   ,DP,NSWR RES370-2002,,,,
