New,AddressID,StreetName,StreetNo,AltStreetName,AltStreetNo,SubdivisionName,SubAcres,ExpansionArea,Zone,Plat_Slide,Cabinet,Slide,PlatAcres,PlatZone-1,PlatZoneAcres-1,PlatZone-2,PlatZoneAcres-2,BuildableLots,NonBuildableLots,PermitNo,Unit,Section,Block,Lot,D_Roads,D_SewerTransmission,D_SewerCapacity,D_Parks,D_Stormwater,D_OpenSpace,D_SewerCredits,D_OtherCredits,D_LedgerEntryType,D_Deferral,D_AmtPaid,D_DatePaid,D_Payment_Type,D_CheckNo,D_Paid_By_Type,D_PaidBy,D_AccountName,D_AccountContact,D_AccountAddress,D_AccountPhone,D_AccountEmail,P_Roads,P_SewerTransmission,P_Parks,P_Stormwater,P_SewerCredits,P_OtherCredits,P_LedgerEntryType,P_Deferral,P_AmtPaid,P_DatePaid,P_Payment_Type,P_CheckNo,P_Paid_By_Type,P_PaidBy,P_AccountName,P_AccountContact,P_AccountAddress,P_AccountPhone,P_AccountEmail,AgreementResolution,CODate_Conditional,CODate_Final,Notes,AccountLedgerAccountFrom-1,AccountLedgerAccountTo-1,AccountLedgerAgreement-1,AccountLedgerAgreementType-1,CreditType-1,EntryDate-1,AccountLedgerAccountFrom-2,AccountLedgerAccountTo-2,AccountLedgerAgreement-2,AccountLedgerAgreementType-2,CreditType-2,EntryDate-2,AccountLedgerAccountFrom-3,AccountLedgerAccountTo-3,AccountLedgerAgreement-3,AccountLedgerAgreementType-3,CreditType-3,EntryDate-3
,1173,Acorn Falls Drive,160,Walnut Creek Drive,4309,Walnut Creek,,2C,EAR-1,L-905,L,905,,,,,,,,,1,,,151,963.54,1306.88,275.49,184.21,1353.72,334.28,1582.37,2835.75,USE,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,,,,,,,,,,,,,,Exactions are paid for the 52 lots of Unit 1 by thru exactions credits by Council Resolution #755-2001 & 406-2002.,,,755-2001,RESOLUTION,"sewer_credits, non_sewer_credits",,,,406-2002,RESOLUTION,"sewer_credits, non_sewer_credits",,,,,,,
,1175,Acorn Falls Drive,165,Walnut Creek Drive,4301,Walnut Creek,,2C,EAR-1,L-905,L,905,,,,,,,,,1,,,150,963.54,1306.88,275.49,184.21,1353.72,334.28,1582.37,2835.75,USE,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,,,,,,,,,,,,,,Exactions are paid for the 52 lots of Unit 1 by thru exactions credits by Council Resolution #755-2001 & 406-2002.,,,755-2001,RESOLUTION,"sewer_credits, non_sewer_credits",,,,406-2002,RESOLUTION,"sewer_credits, non_sewer_credits",,,,,,,
,1176,Acorn Falls Drive,164,,,Walnut Creek,,2C,EAR-1,L-905,L,905,,,,,,,,,1,,,152,963.54,1306.88,275.49,184.21,1353.72,334.28,1582.37,2835.75,USE,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,,,,,,,,,,,,,,Exactions are paid for the 52 lots of Unit 1 by thru exactions credits by Council Resolution #755-2001 & 406-2002.,,,755-2001,RESOLUTION,"sewer_credits, non_sewer_credits",,,,406-2002,RESOLUTION,"sewer_credits, non_sewer_credits",,,,,,,
,1177,Acorn Falls Drive,169,,,Walnut Creek,,2C,EAR-1,L-905,L,905,,,,,,,,,1,,,149,963.54,1306.88,275.49,184.21,1353.72,334.28,1582.37,2835.75,USE,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,,,,,,,,,,,,,,Exactions are paid for the 52 lots of Unit 1 by thru exactions credits by Council Resolution #755-2001 & 406-2002.,,,755-2001,RESOLUTION,"sewer_credits, non_sewer_credits",,,,406-2002,RESOLUTION,"sewer_credits, non_sewer_credits",,,,,,,
,1178,Acorn Falls Drive,168,,,Walnut Creek,,2C,EAR-1,L-905,L,905,,,,,,,,,1,,,153,963.54,1306.88,275.49,184.21,1353.72,334.28,1582.37,2835.75,USE,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,,,,,,,,,,,,,,Exactions are paid for the 52 lots of Unit 1 by thru exactions credits by Council Resolution #755-2001 & 406-2002.,,,755-2001,RESOLUTION,"sewer_credits, non_sewer_credits",,,,406-2002,RESOLUTION,"sewer_credits, non_sewer_credits",,,,,,,
,1179,Acorn Falls Drive,173,,,Walnut Creek,,2C,EAR-1,L-905,L,905,,,,,,,,,1,,,148,963.54,1306.88,275.49,184.21,1353.72,334.28,1582.37,2835.75,USE,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,,,,,,,,,,,,,,Exactions are paid for the 52 lots of Unit 1 by thru exactions credits by Council Resolution #755-2001 & 406-2002.,,,755-2001,RESOLUTION,"sewer_credits, non_sewer_credits",,,,406-2002,RESOLUTION,"sewer_credits, non_sewer_credits",,,,,,,
,1180,Acorn Falls Drive,172,,,Walnut Creek,,2C,EAR-1,L-905,L,905,,,,,,,,,1,,,154,963.54,1306.88,275.49,184.21,1353.72,334.28,1582.37,2835.75,USE,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,,,,,,,,,,,,,,Exactions are paid for the 52 lots of Unit 1 by thru exactions credits by Council Resolution #755-2001 & 406-2002.,,,755-2001,RESOLUTION,"sewer_credits, non_sewer_credits",,,,406-2002,RESOLUTION,"sewer_credits, non_sewer_credits",,,,,,,
,1181,Acorn Falls Drive,177,,,Walnut Creek,,2C,EAR-1,L-905,L,905,,,,,,,,,1,,,147,963.54,1306.88,275.49,184.21,1353.72,334.28,1582.37,2835.75,USE,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,,,,,,,,,,,,,,Exactions are paid for the 52 lots of Unit 1 by thru exactions credits by Council Resolution #755-2001 & 406-2002.,,,755-2001,RESOLUTION,"sewer_credits, non_sewer_credits",,,,406-2002,RESOLUTION,"sewer_credits, non_sewer_credits",,,,,,,
,1182,Acorn Falls Drive,176,,,Walnut Creek,,2C,EAR-1,L-905,L,905,,,,,,,,,1,,,155,963.54,1306.88,275.49,184.21,1353.72,334.28,1582.37,2835.75,USE,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,,,,,,,,,,,,,,Exactions are paid for the 52 lots of Unit 1 by thru exactions credits by Council Resolution #755-2001 & 406-2002.,,,755-2001,RESOLUTION,"sewer_credits, non_sewer_credits",,,,406-2002,RESOLUTION,"sewer_credits, non_sewer_credits",,,,,,,
,1183,Acorn Falls Drive,181,,,Walnut Creek,,2C,EAR-1,L-905,L,905,,,,,,,,,1,,,146,963.54,1306.88,275.49,184.21,1353.72,334.28,1582.37,2835.75,USE,0,0,,,,,,,,,,,0,0,0,0,0,0,,0,0,,,,,,,,,,,,,,Exactions are paid for the 52 lots of Unit 1 by thru exactions credits by Council Resolution #755-2001 & 406-2002.,,,755-2001,RESOLUTION,"sewer_credits, non_sewer_credits",,,,406-2002,RESOLUTION,"sewer_credits, non_sewer_credits",,,,,,,
